date,hour,普洱,汉中,雅安,北海,黑河
20220101,0,18.0,112.0,91.0,59.0,43.0
20220101,1,14.0,101.0,78.0,61.0,37.0
20220101,2,13.0,101.0,72.0,62.0,36.0
20220101,3,11.0,89.0,71.0,60.0,34.0
20220101,4,15.0,76.0,70.0,55.0,27.0
20220101,5,13.0,67.0,58.0,56.0,23.0
20220101,6,9.0,66.0,55.0,56.0,16.0
20220101,7,12.0,57.0,42.0,53.0,22.0
20220101,8,12.0,57.0,56.0,50.0,25.0
20220101,9,15.0,68.0,56.0,52.0,29.0
20220101,10,18.0,76.0,54.0,55.0,32.0
20220101,11,14.0,80.0,55.0,61.0,37.0
20220101,12,13.0,70.0,54.0,59.0,35.0
20220101,13,10.0,75.0,56.0,59.0,22.0
20220101,14,7.0,66.0,52.0,61.0,15.0
20220101,15,12.0,57.0,63.0,66.0,12.0
20220101,16,11.0,52.0,54.0,66.0,16.0
20220101,17,12.0,52.0,47.0,69.0,15.0
20220101,18,13.0,63.0,50.0,67.0,15.0
20220101,19,18.0,84.0,50.0,63.0,18.0
20220101,20,17.0,108.0,54.0,58.0,18.0
20220101,21,20.0,148.0,57.0,49.0,22.0
20220101,22,21.0,154.0,61.0,37.0,22.0
20220101,23,19.0,137.0,60.0,30.0,20.0
20220102,0,20.0,137.0,62.0,27.0,17.0
20220102,1,22.0,131.0,61.0,26.0,16.0
20220102,2,21.0,112.0,58.0,32.0,14.0
20220102,3,14.0,98.0,58.0,29.0,15.0
20220102,4,9.0,80.0,57.0,29.0,13.0
20220102,5,10.0,87.0,56.0,26.0,17.0
20220102,6,10.0,93.0,55.0,29.0,20.0
20220102,7,12.0,84.0,52.0,26.0,24.0
20220102,8,11.0,77.0,51.0,29.0,27.0
20220102,9,9.0,84.0,50.0,32.0,28.0
20220102,10,9.0,95.0,50.0,33.0,25.0
20220102,11,13.0,99.0,59.0,34.0,18.0
20220102,12,11.0,94.0,68.0,36.0,19.0
20220102,13,8.0,65.0,78.0,34.0,15.0
20220102,14,8.0,58.0,76.0,34.0,14.0
20220102,15,8.0,63.0,71.0,38.0,11.0
